,CC,CC_err
39655,-44.29491887592187,1.3778885368259641
39654,-50.27968731090652,1.2572772043181948
39653,-74.30839434450816,1.5382594095629998
39652,-43.63569239851684,1.3066340282423476
39651,-5.185670919765514,1.3129540743294976
39650,-28.816219236076936,0.9117859767775471
40526,-16.267344508958136,0.6076149073118976
40525,0.0,0.0
40524,-25.085059313781937,0.4332034428322875
39659,-58.23261953348131,1.56852046881642
39658,-41.69549489700203,1.7483347980962474
39657,-34.802903538799335,1.2069001895430678
39649,-39.608523406087116,0.7469516049386284
39648,-56.0524710551411,0.5380635723356837
39647,-67.31944754826753,0.5308729897932494
39646,-47.97957547919858,0.5798418611672881
39644,-56.87368236603268,0.650878988708539
39630,-59.22880661806725,0.6542926597821527
39629,-8.400656539087812,0.6906069384523865
39628,-45.9746307287521,0.8864333548084204
39627,-17.993639837349647,1.0069382589147198
39626,-13.781566630979896,1.0390808583610733
39625,-40.88293322456725,1.1306151731586511
39624,-61.411256356596766,0.9477654300333612
39623,-39.07409433720636,1.3980160011983236
39622,-35.31495080420657,3.2268732901792845
39621,-8.97748253968786,2.5112496860583264
39620,16.03642281428979,2.990422909046
39619,-48.305670228667054,2.8186655254080195
40533,-13.0743169417314,2.575667407041953
40531,-22.129901799931623,2.199773753357528
39615,-36.02514284622513,1.3213653654703212
39614,-47.381722582436055,0.7823617942335319
39613,-24.12990877261451,0.6037068672896191
39612,-18.042209888243757,0.7416043139895573
39642,1.1314404841071024,1.3490515521979727
39610,-32.84553146156132,1.2232682114486555
39609,-28.772698597958442,1.0231150686040134
39608,-38.669650001500514,1.1252427998533066
39607,-19.256350035136368,1.033245492435112
39666,-44.94877058476181,0.9417158836534125
39665,-24.21917312918276,1.0239251881558977
39664,-5.847107750629625,1.0919060683515505
39667,3.8126018121778316,1.1719810827391905
39661,-41.466291850430025,1.1060510132378534
39660,-20.40822259200127,1.0888304427106261
39611,-66.00168314539032,1.115751866167385
